,age,is_selfie_verified,gender,schools,city,show_gender_on_profile,relationship_intent,sexual_orientations,hide_age,hide_distance,is_traveling,custom_gender,zodiac_sign,height,education_level,relationship_type,workout,professions,company_name,has_face
3316,24.0,False,,,,0.0,,,,,,,Taurus,,Bachelors,,,,,True
3317,19.0,False,,,,0.0,Still figuring it out,,,,,,,,,,,,,True
3318,24.0,False,,Rijksuniversiteit Groningen,,0.0,,,,,,,,,,,,,,True
3319,23.0,True,,Rijksuniversiteit Groningen,Bedum,0.0,,,,,,,Gemini,172.0,Bachelors,Monogamy,,Meester in opleiding,,True
3320,25.0,False,F,,,1.0,,,0.0,0.0,,,Sagittarius,159.0,In Grad School,Monogamy,,Verpleegkundige,,True
3321,21.0,False,,University of Groningen,,0.0,,,,,,,,167.0,,,,,,True
3322,25.0,False,F,,,,,,,,,,Taurus,,,,,,,True
3323,22.0,False,,,Groningen,0.0,"Long-term, open to short",,,,,,,,,,,Verpleegkundige UMCG,,True
3324,21.0,True,,Universiteit Leiden,Den Haag,0.0,"Long-term, open to short",,,,,,Virgo,170.0,In College,Monogamy,Often,-,-,True
3325,28.0,False,,,,0.0,Still figuring it out,,,,,,Capricorn,,High School,Open to exploring,Sometimes,,,True
3326,22.0,False,,Hanzehogeschool Groningen,Groningen,0.0,,,,,,,Gemini,,In College,,Sometimes,Serveerster,,True
3327,24.0,False,,,Groningen,0.0,,,,,,,Capricorn,,,,,,,True
3328,26.0,True,,Universiteit Utrecht,Amsterdam,0.0,Still figuring it out,,,,,,Aries,,Masters,,,,,True
3329,22.0,False,,,,0.0,,,,,,,,,,,,,,True
3330,58.0,False,M,UVA,Amsterdam,1.0,Long-term partner,,,,,,,,,,,,,True
3331,23.0,False,F,,Nijkerkerveen,,,Straight,,,,,Leo,,,,,Verzorgende IG,,True
3332,26.0,False,,,Groningen,0.0,"Long-term, open to short",,,,,,Gemini,,Trade School,Monogamy,Sometimes,Woonbegeleider,Cosis,True
3333,20.0,True,F,Hanze University of Applied Sciences Groningen,Groningen,1.0,Still figuring it out,,,,0.0,,Capricorn,,In College,,Never,Mw,Bruna,True
3334,20.0,False,,University of Florida,Utrecht,0.0,,,,,,,,,In College,,,,,True
3335,21.0,False,,Rijksuniversiteit Groningen,Groningen,0.0,,,,,0.0,,,,In College,,,,,True
3336,35.0,True,F,,,,"Long-term, open to short",,,,0.0,,Sagittarius,,In Grad School,Monogamy,,Toestenbord heldin,,True
3337,27.0,False,,,,0.0,,,0.0,0.0,0.0,,Aries,,Bachelors,,Often,,,False
